lat,lon,diam
-19.8304,264.757,940.96
44.7763,328.602,249.84
57.0866,82.0995,599.778
1.96124,230.622,558.762
-49.1496,266.347,654.332
-35.6024,208.486,505.312
18.5231,175.55,613.901
26.8611,149.162,634.744
-4.38375,202.528,429.664
-32.6805,163.988,333.895
-57.2082,135.54,318.375
-55.8051,314.334,354.103
-52.6979,177.587,2491.87
8.25292,28.416,907.122
-22.442,344.611,659.206
26.2091,147.494,423.869
16.3974,59.4647,1114.52
27.0221,22.8638,866.199
-1.39324,86.1165,954.724
-4.78646,291.203,463.755
45.4832,152.893,229.381
13.9617,201.639,429.904
-69.0838,111.708,296.911
-22.5644,353.409,214.053
40.1834,251.963,209.32
34.2737,105.487,208.894
-57.2199,163.363,327.78
51.1265,237.306,659.596
-2.52891,52.8579,652.877
-25.9578,320.599,796.356
-15.8284,34.7632,871.995
34.2595,342.856,1198.39
-51.6705,23.5685,444.257
-17.3838,295.191,438.1
60.8108,183.046,27.2383
60.289,181.985,34.0852
61.2535,178.486,20.4314
61.6941,172.365,83.2894
62.465,177.632,34.1025
63.1586,184.163,23.9923
62.035,197.077,22.691
61.7687,198.048,26.9385
63.8658,188.705,45.4366
63.2202,181.541,24.8518
64.1041,178.193,38.2615
62.8049,183.523,110.159
62.4875,154.858,50.4545
60.3017,149.602,28.243
65.2548,177.786,33.9326
65.8326,178.536,22.5347
61.1455,210.233,37.0947
60.9582,214.123,28.5488
60.7799,213.28,37.5979
61.6174,209.703,73.029
64.6934,198.497,143.394
64.8957,211.952,43.665
64.3055,217.229,129.759
65.0554,214.836,21.2384
61.6901,216.719,44.0304
61.1215,218.993,29.6124
66.6729,178.788,31.4774
66.4621,173.0,21.7431
65.4918,165.466,56.0496
63.277,165.392,127.317
65.3015,162.178,27.9307
62.988,151.831,24.0399
61.448,146.097,21.9057
61.8098,135.82,40.8719
61.695,137.734,49.4654
65.3417,144.909,112.243
61.7342,144.08,34.8336
64.294,147.426,23.8765
65.0464,150.713,22.943
66.1363,156.703,32.1861
67.6883,186.046,44.9374
68.307,184.281,55.3995
69.1593,179.033,53.282
68.3275,203.376,67.6235
68.365,167.226,24.3274
67.4761,162.997,44.1048
69.0438,158.244,63.2544
66.2797,148.848,25.0499
63.7349,136.593,21.5012
67.0996,148.22,28.7609
68.6023,151.484,48.9364
70.9663,176.06,26.0893
71.0569,172.753,23.9478
71.8679,183.871,23.9308
72.0732,186.336,20.2802
70.6566,185.803,90.5704
